"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","needsecurity","=~","security_freedom_1","",1,0,NA,NA,1,1,1.67852904947093,0.925589301059791,0.925589301059791
"2","needsecurity","=~","security_freedom_2","",0.888698464323673,0.046336450552442,19.1792520516407,0,0.793618048679279,0.977710972436736,1.49170618858749,0.854733597782886,0.854733597782886
"3","needsecurity","=~","security_freedom_3","",0.979675490126654,0.0443704098403679,22.0794780497013,0,0.891936645568623,1.06595291691372,1.64441376923226,0.88419764062047,0.88419764062047
"4","intMainstream","=~","Nar_5correct","",1,0,NA,NA,1,1,1.42877417188645,0.807243273963971,0.807243273963971
"5","intMainstream","=~","nar_6correct","",0.926235420645697,0.0626026534123536,14.7954658494223,0,0.807064290075648,1.055189428192,1.32338124610495,0.795159944571021,0.795159944571021
"6","intMainstream","=~","nar_7correct","",0.837111624661624,0.0671567066156536,12.4650487918135,0,0.708907730232748,0.973302217237322,1.19604346830243,0.670468368949017,0.670468368949017
"7","intMainstream","=~","nar_8correct","",0.899385809112922,0.0701809438414797,12.8152424274087,0,0.763095594339147,1.04095545232455,1.28501921462174,0.732667013599422,0.732667013599422
"8","intMicronarratives","=~","nar_1","",1,0,NA,NA,1,1,1.07704495196595,0.637624451089107,0.637624451089107
"9","intMicronarratives","=~","nar_2","",1.303932352494,0.149702444619815,8.7101607178525,0,1.05598448889509,1.65552379366844,1.40439375795875,0.721019171164305,0.721019171164305
"10","intMicronarratives","=~","nar_3","",1.35474342834365,0.15573052473449,8.69927993020891,0,1.10611771997305,1.72811590211467,1.45911957070658,0.762813362826268,0.762813362826268
"11","intMicronarratives","=~","nar_4","",0.960611516709079,0.141477204116387,6.78986782859256,1.12236886451456e-11,0.719963752710415,1.27868281560091,1.03462178487187,0.581883784740803,0.581883784740803
"12","traitneedsecurity","=~","security_1","",1,0,NA,NA,1,1,1.16581659847418,0.776282507000708,0.776282507000708
"13","traitneedsecurity","=~","security_2","",0.750296147023391,0.117419206716581,6.38989282932566,1.66002100954188e-10,0.540726445162354,1.00196368203868,0.874707701971094,0.623042461000025,0.623042461000025
"14","traitneedsecurity","=~","security_3","",0.89912380307422,0.107266270061058,8.38216713009987,0,0.700922508386866,1.11646797919003,1.04821345370716,0.699316552039619,0.699316552039619
"15","institution_trust_5","~","intMicronarratives","b1",-0.500382022340278,0.130336409129579,-3.839157651204,0.000123457142701344,-0.774213960342943,-0.253599043859476,-0.538933931216108,-0.310790004397374,-0.310790004397374
"16","institution_trust_5","~","intMainstream","b2",0.585007402947058,0.0967780800850381,6.0448337312852,1.49564161056048e-09,0.400647372273663,0.786472492572756,0.835843467693124,0.482010465389859,0.482010465389859
"17","intMicronarratives","~","needsecurity","a1",0.0827970151473425,0.0496923178789873,1.6661934617132,0.0956748878268967,-0.0167041237650806,0.178544445576209,0.129035649701177,0.129035649701177,0.129035649701177
"18","intMicronarratives","~","traitneedsecurity","",0.117748056158086,0.0816685396380023,1.44177986627417,0.149364484454111,-0.0338613441803338,0.28635684502834,0.127453026038143,0.127453026038143,0.127453026038143
"19","intMainstream","~","needsecurity","a2",-0.120813144926187,0.0574597109480043,-2.10257140060296,0.0355032521159928,-0.234559206266111,-0.00857162843584425,-0.141931718326626,-0.141931718326626,-0.141931718326626
"20","intMainstream","~","traitneedsecurity","",0.284649623109389,0.0974583577829766,2.92073075706094,0.00349211476950995,0.103796113831151,0.483372027354645,0.23226151613043,0.23226151613043,0.23226151613043
"21","intMicronarratives","~","gr_1","",-0.0326661289159403,0.133698098438059,-0.244327550635091,0.806977147606514,-0.305244487245628,0.218975439812027,-0.0303294016246158,-0.0151647008123079,-0.0303294016246158
"22","intMainstream","~","gr_1","",-0.0614640796615211,0.168681221207855,-0.364380096500385,0.715574196084309,-0.395668175391907,0.260400145056023,-0.0430187505282018,-0.0215093752641009,-0.0430187505282018
"23","needsecurity","~","gr_1","",0.814262145315347,0.182663817242569,4.45770901762141,8.28402475439027e-06,0.446775670385064,1.16532679404355,0.485104589385569,0.242552294692785,0.485104589385569
"24","institution_trust_5","~","gr_1","",-0.0527071820426985,0.180272383822852,-0.292375243090434,0.769999734822673,-0.411672409907017,0.295343167452955,-0.0527071820426985,-0.0151974707751838,-0.0303949415503676
"25","institution_trust_5","~","needsecurity","",-0.0785118368127081,0.0686965691420105,-1.14287857156894,0.253089010588153,-0.21333727790775,0.0573245463531727,-0.131784398817452,-0.0759968365613218,-0.0759968365613218
"26","intMainstream","~~","intMicronarratives","",0.774224110596505,0.167206156370122,4.63035648569489,3.65036718985579e-06,0.449577550056703,1.10551575471585,0.530705566109089,0.530705566109089,0.530705566109089
"27","needsecurity","~~","traitneedsecurity","",0.265646886386207,0.135612295569309,1.95887021358207,0.0501279881528678,-0.0103114318057293,0.522669547820667,0.139930365610895,0.139930365610895,0.139930365610895
"28","security_freedom_1","~~","security_freedom_1","",0.471216099203298,0.134788528785883,3.49596589151769,0.000472349074097433,0.225013105401034,0.748636492152574,0.471216099203298,0.143284445763648,0.143284445763648
"29","security_freedom_2","~~","security_freedom_2","",0.820638242538967,0.186532545650639,4.39943731897573,1.08531919000843e-05,0.475216997222946,1.20991460105536,0.820638242538967,0.269430476821123,0.269430476821123
"30","security_freedom_3","~~","security_freedom_3","",0.754687869396483,0.142850311304764,5.28306772665263,1.27038399577728e-07,0.488653341784761,1.05333289456768,0.754687869396483,0.218194532321194,0.218194532321194
"31","Nar_5correct","~~","Nar_5correct","",1.09130079037084,0.163307037001063,6.68250928074666,2.34885444427846e-11,0.77204608702053,1.42048970892617,1.09130079037084,0.348358296639929,0.348358296639929
"32","nar_6correct","~~","nar_6correct","",1.01854212700189,0.146334340932383,6.96037663143287,3.39372974167418e-12,0.744339991616294,1.31482029133029,1.01854212700189,0.367720662549811,0.367720662549811
"33","nar_7correct","~~","nar_7correct","",1.75175233219025,0.208462185849072,8.40321387332345,0,1.35686397952544,2.16654050457405,1.75175233219025,0.550472166238845,0.550472166238845
"34","nar_8correct","~~","nar_8correct","",1.42486468465205,0.166471551275158,8.55920830759191,0,1.09973943642298,1.75190132759852,1.42486468465205,0.463199047183304,0.463199047183304
"35","nar_1","~~","nar_1","",1.69321042631517,0.20054300656448,8.4431287598691,0,1.30625505002117,2.09524456954495,1.69321042631517,0.593435059373315,0.593435059373315
"36","nar_2","~~","nar_2","",1.82156311961285,0.274194940377134,6.6433141220893,3.06707992336896e-11,1.27903426876685,2.35189657389769,1.82156311961285,0.480131354813539,0.480131354813539
"37","nar_3","~~","nar_3","",1.52982492378873,0.19809754878962,7.72258381356051,1.13242748511766e-14,1.13463676265331,1.90439166760186,1.52982492378873,0.418115773493681,0.418115773493681
"38","nar_4","~~","nar_4","",2.09103986314729,0.215315945870069,9.71149561031169,0,1.64440379881081,2.49395487147263,2.09103986314729,0.661411261055719,0.661411261055719
"39","security_1","~~","security_1","",0.896257601299406,0.212592705543627,4.21584361988131,2.48846162913541e-05,0.437397958035868,1.29103916843495,0.896257601299406,0.397385469324695,0.397385469324695
"40","security_2","~~","security_2","",1.20590452765028,0.137931798815719,8.74275937821565,0,0.915179536932992,1.46657673516018,1.20590452765028,0.611818091791033,0.611818091791033
"41","security_3","~~","security_3","",1.1479835188956,0.167177156845264,6.86686830042306,6.56275034316423e-12,0.822159123743107,1.47556217779533,1.1479835188956,0.510956360043419,0.510956360043419
"42","institution_trust_5","~~","institution_trust_5","",2.4145896464909,0.181826683687815,13.2796220968128,0,2.02093715387164,2.73317290947217,2.4145896464909,0.802983024474733,0.802983024474733
"43","needsecurity","~~","needsecurity","",2.65170405959441,0.211124969383093,12.5598789538854,0,2.23622635345805,3.07118139363797,0.941168384339264,0.941168384339264,0.941168384339264
"44","intMainstream","~~","intMainstream","",1.90445178550672,0.2111336886321,9.02012273761397,0,1.47187413366608,2.29807512814473,0.932916556474654,0.932916556474654,0.932916556474654
"45","intMicronarratives","~~","intMicronarratives","",1.11752208921052,0.210894428469218,5.29896449764977,1.16461274179969e-07,0.704732814486888,1.53316522316716,0.963359661226041,0.963359661226041,0.963359661226041
"46","traitneedsecurity","~~","traitneedsecurity","",1.35912834127791,0.225612163443148,6.02418025932541,1.69968861207792e-09,0.962985166482683,1.85010094013233,1,1,1
"47","gr_1","~~","gr_1","",0.25,0,NA,NA,0.25,0.25,0.25,1,0.25
"48","security_freedom_1","~1","","",4.5484904305576,0.134764243977362,33.7514632688599,0,4.28528005090451,4.81025913161173,4.5484904305576,2.50816873251252,2.50816873251252
"49","security_freedom_2","~1","","",4.72398210430914,0.125387203470432,37.6751532338235,0,4.48138128982316,4.96974086954013,4.72398210430914,2.70679725724105,2.70679725724105
"50","security_freedom_3","~1","","",4.41179485380133,0.135918655937919,32.459082407469,0,4.14838085147001,4.6836580574787,4.41179485380133,2.37221231883378,2.37221231883378
"51","Nar_5correct","~1","","",4.22193049599397,0.123013162835349,34.3209653234017,0,3.98210277206432,4.46014536664215,4.22193049599397,2.38534896773412,2.38534896773412
"52","nar_6correct","~1","","",4.65094656774424,0.114920776359793,40.4708940808325,0,4.42621146835694,4.87386954708576,4.65094656774424,2.79454346651441,2.79454346651441
"53","nar_7correct","~1","","",4.6556581309377,0.116854174923713,39.8416071482006,0,4.42237931246854,4.88550401634126,4.6556581309377,2.60983116095638,2.60983116095638
"54","nar_8correct","~1","","",4.61033921123853,0.115273022615034,39.9949537771316,0,4.38486149295269,4.83580105161595,4.61033921123853,2.62863264855753,2.62863264855753
"55","nar_1","~1","","",4.50333408311942,0.111514116258253,40.3835338002434,0,4.28575580248898,4.72446417581063,4.50333408311942,2.66603164294917,2.66603164294917
"56","nar_2","~1","","",4.10752013701232,0.136134833529581,30.1724402969926,0,3.8391990258119,4.37425456575225,4.10752013701232,2.10881082883331,2.10881082883331
"57","nar_3","~1","","",3.79302780057654,0.135495749317895,27.993703268709,0,3.53536621119797,4.05212393046965,3.79302780057654,1.982957634137,1.982957634137
"58","nar_4","~1","","",4.3117105802026,0.114282353674637,37.7285769986683,0,4.08763241807014,4.5299633222518,4.3117105802026,2.42495809367282,2.42495809367282
"59","security_1","~1","","",4.79881624112038,0.081446177484066,58.9200916403868,0,4.63616956906861,4.9585053735453,4.79881624112038,3.19538862902469,3.19538862902469
"60","security_2","~1","","",5.52958574959521,0.0759535175632279,72.8022338793208,0,5.37573941789461,5.67455610867909,5.52958574959521,3.93864911212628,3.93864911212628
"61","security_3","~1","","",4.35502946503924,0.0803810786033918,54.17978385843,0,4.19526634109075,4.51183410069331,4.35502946503924,2.90546183961977,2.90546183961977
"62","institution_trust_5","~1","","",3.53684259712541,0.131107893843227,26.9765800780432,0,3.28348909296132,3.79950111709846,3.53684259712541,2.03961053970575,2.03961053970575
"63","gr_1","~1","","",0.5,0,NA,NA,0.5,0.5,0.5,1,0.5
"64","needsecurity","~1","","",0,0,NA,NA,0,0,0,0,0
"65","intMainstream","~1","","",0,0,NA,NA,0,0,0,0,0
"66","intMicronarratives","~1","","",0,0,NA,NA,0,0,0,0,0
"67","traitneedsecurity","~1","","",0,0,NA,NA,0,0,0,0,0
"68","ind1",":=","a1*b1","ind1",-0.0414301378831658,0.0271317423401621,-1.5269987958657,0.126761310795615,-0.0969440081576807,0.00865031551734459,-0.0695416899604801,-0.0401029901380469,-0.0401029901380469
"69","ind2",":=","a2*b2","ind2",-0.070676584155135,0.0357902973225633,-1.97474146465328,0.0482974948200658,-0.145888645231155,-0.00505627159707164,-0.118632699621771,-0.0684125736041996,-0.0684125736041996
